CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOMECAT,INCOME,RINCOMECAT,RINCOME,EDUC,SPEDU,PAEDU,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,POLVIEWS,POLVIEWS3,CAPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,JOBLOSE,JOBFIND,SATJOB,RICHWORK,JOBINC,JOBSEC,JOBHOURS,JOBPROMO,JOBMEANS,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL
57698,2,55,2,3,1,18,0,1,1,2,2,"2,000",,,13,,10,11,1,,1,0,4,0,,,2,2,6,0,1,4,2,2,1,,,,,1,,,,,,,2,2,2,3,4,1,5,2,2,,3,1,,,,
57699,2,63,2,2,7,16,0,1,1,1,9,"11,250",,,12,,5,3,1,,0,0,8,0,,,2,2,6,0,1,4,2,2,,1,3,3,3,,2,1,1,2,,,,,,,,,,5,2,,,,2,4,2,4
57700,2,26,2,5,1,22,1,1,2,,9,"11,250",9,"11,250",14,,18,16,2,,4,3,4,0,,,2,2,,2,2,4,2,1,1,1,3,4,1,1,2,1,1,1,,,1,1,,,,,,,3,,2,1,1,4,3,2
57701,2,49,2,4,2,17,1,1,1,,9,"11,250",4,"4,500",11,,,10,0,,,,8,0,,,2,2,,0,1,2,1,,1,7,3,3,1,1,,,,,,,,,,,,,,,2,,3,1,1,1,2,2
57702,1,32,2,5,0,,2,1,3,2,8,"9,000",1,500,12,,,12,1,,,1,4,0,,,2,2,2,6,3,4,2,1,,3,3,3,3,,1,1,1,1,,,1,,,,,,,4,3,,,,2,4,1,1
57703,2,42,1,1,1,35,2,1,2,1,19,"55,000",1,500,16,14,12,16,3,2,1,3,2,1,26,65,2,2,3,0,1,2,1,1,,3,2,3,2,,2,1,1,1,4,1,2,,4,5,2,3,1,2,1,1,,,2,4,3,1
57704,2,50,1,5,1,27,1,1,2,1,8,"9,000",,,13,,17,14,1,,,1,1,0,30,,2,2,4,1,1,4,2,1,1,,,,,1,,,,,3,3,3,1,2,1,5,3,4,3,2,,2,1,,,,
57705,2,48,1,1,3,31,1,2,3,1,22,"100,000",,,8,16,12,5,0,3,,0,7,1,,51,2,2,1,3,2,7,3,2,,1,5,3,3,,1,1,1,2,,,1,,,,,,,5,2,2,,,2,4,1,4
57706,2,76,1,2,3,22,0,1,3,1,,,,,10,,,10,1,,,0,5,0,,,2,2,12,6,3,4,2,1,1,,,,,1,,,,,,,,,2,3,5,4,1,5,2,,1,3,,,,
57707,1,53,1,1,1,33,2,1,3,1,25,"175,000",21,"82,500",14,16,16,12,1,3,3,1,1,1,65,70,2,2,3,5,3,4,2,1,1,,,,,1,,,,,4,2,2,2,1,5,4,3,2,2,2,1,1,2,,,,
57708,2,31,1,1,3,20,1,1,1,1,2,"2,000",,,13,12,12,12,1,1,1,1,7,4,,,2,2,4,6,3,5,3,2,1,,,,,,,,,,,,1,,2,4,5,3,1,3,3,1,2,3,,,,
57709,2,37,2,5,0,,1,1,3,,20,"67,500",20,"67,500",17,,,12,3,,,1,1,0,50,,2,1,,2,2,4,2,,1,1,3,3,1,1,2,1,1,1,,,2,1,,,,,,,2,,2,2,2,1,1,1
57710,2,46,2,1,4,18,1,1,2,,19,"55,000",19,"55,000",12,18,,16,1,4,,3,1,1,65,72,2,2,,0,1,4,2,2,1,1,1,1,1,1,,,,,,,1,2,,,,,,,1,1,2,2,2,2,1,1
57711,2,40,1,5,0,,1,1,3,,17,"37,500",17,"37,500",19,,12,14,4,,1,1,1,0,60,,2,2,,2,2,1,1,2,1,1,3,3,2,1,2,1,1,1,,,1,1,,,,,,,2,,4,2,1,4,4,
57712,2,25,2,5,1,18,1,1,2,2,16,"32,500",10,"13,750",13,,8,13,1,,0,1,7,0,,,2,2,3,1,1,4,2,2,1,,,,,2,,,,,,,4,,1,2,3,5,4,4,3,,2,1,,,,
57713,1,61,3,1,1,28,2,1,2,1,22,"100,000",20,"67,500",12,12,10,10,1,1,0,0,1,8,47,,2,2,1,5,3,6,3,1,,4,1,3,3,,2,1,1,1,3,3,2,,,,,,,2,2,2,,,2,4,4,4
57714,2,50,1,1,0,,2,1,2,1,,,3,"3,500",13,13,14,16,1,1,1,3,1,2,60,20,2,2,2,0,1,1,1,,,1,1,3,1,,2,2,1,1,4,2,1,,,,,,,4,1,1,,,2,2,2,4
57715,1,51,3,3,3,19,1,1,2,,22,"100,000",22,"100,000",12,,2,10,1,,0,0,1,0,63,,2,2,,3,2,2,1,1,1,7,1,1,1,1,,,,,,,1,2,,,,,,,1,,1,1,2,1,4,4
57716,1,57,1,1,3,25,2,1,2,1,25,"175,000",19,"55,000",15,14,12,14,1,2,1,2,4,1,,55,2,2,3,2,2,4,2,1,2,,,,,1,,,,,,,1,1,2,4,5,3,1,1,2,2,3,2,,,,
57717,2,79,2,2,5,18,3,1,2,,16,"32,500",12,"18,750",14,,5,5,2,,0,0,8,0,,,2,2,,2,2,5,3,,1,,3,3,3,1,,,,,,,,,,,,,,,2,,2,1,2,4,1,1
57718,2,31,2,3,2,20,1,1,2,1,12,"18,750",6,"6,500",14,,16,18,1,,3,4,2,0,30,,1,2,2,1,1,4,2,2,,5,3,3,3,,2,2,1,2,3,3,1,,3,5,2,1,4,4,2,,,,1,4,3,1
57719,2,24,2,5,3,18,1,1,3,2,10,"13,750",10,"13,750",13,,12,12,1,,1,1,1,0,44,,2,2,5,3,2,5,3,2,2,,,,,1,,,,,4,1,2,1,1,4,5,2,3,3,2,,2,1,,,,
57720,2,61,2,1,3,20,2,1,3,1,19,"55,000",11,"16,250",12,12,5,11,1,1,0,0,2,1,40,40,2,1,5,2,2,2,1,1,,1,3,1,2,,2,1,1,2,4,3,1,,,,,,,3,2,2,,,2,2,2,3
57721,2,62,2,2,5,17,1,1,2,,16,"32,500",16,"32,500",12,,10,15,1,,,1,1,0,40,,2,2,,1,1,5,3,2,1,2,3,3,3,1,8,1,1,2,,,1,1,,,,,,,3,,2,1,2,4,1,2
